wn spectra line corrected
3.998081999999999880e+03 2.575087999999999822e-01 2.175087999999999744e-01 -8.405340518861684207e-02
3.997117999999999938e+03 2.574775999999999732e-01 2.174418316313408706e-01 -8.406472909369844260e-02
3.996153999999999996e+03 2.574368000000000212e-01 2.173748632626817112e-01 -8.408818205967756587e-02
3.995188999999999851e+03 2.573842000000000074e-01 2.173078254247604868e-01 -8.412652148600267832e-02
3.994224999999999909e+03 2.573205000000000076e-01 2.172408570561013830e-01 -8.417891931528539984e-02
3.993260999999999967e+03 2.572491000000000083e-01 2.171738886874422236e-01 -8.424103948373749817e-02
3.992295999999999822e+03 2.571743000000000223e-01 2.171068508495209992e-01 -8.430740577192276375e-02
3.991331999999999880e+03 2.571013999999999800e-01 2.170398824808618954e-01 -8.437136351684523805e-02
3.990367999999999938e+03 2.570347000000000048e-01 2.169729141122027916e-01 -8.442743653145197424e-02
3.989402999999999793e+03 2.569764999999999966e-01 2.169058762742815671e-01 -8.447268189041677589e-02
3.988438999999999851e+03 2.569274999999999753e-01 2.168389079056224078e-01 -8.450627192508292085e-02
3.987474999999999909e+03 2.568865000000000176e-01 2.167719395369633040e-01 -8.452969717726963039e-02
3.986510000000000218e+03 2.568501999999999730e-01 2.167049016990421351e-01 -8.454710812008807419e-02
3.985545999999999822e+03 2.568142999999999954e-01 2.166379333303829757e-01 -8.456401075747893570e-02
3.984581999999999880e+03 2.567737999999999965e-01 2.165709649617238719e-01 -8.458670897753529927e-02
3.983617000000000189e+03 2.567243000000000164e-01 2.165039271238026475e-01 -8.462074652139614517e-02
3.982652999999999793e+03 2.566628000000000243e-01 2.164369587551434881e-01 -8.466998288302791942e-02
3.981688999999999851e+03 2.565876999999999741e-01 2.163699903864843843e-01 -8.473641508814291901e-02
3.980724000000000160e+03 2.565005000000000202e-01 2.163029525485631599e-01 -8.481811327638323628e-02
3.979760000000000218e+03 2.564043999999999768e-01 2.162359841799040561e-01 -8.491108362307364654e-02
3.978795999999999822e+03 2.563038000000000260e-01 2.161690158112448967e-01 -8.500972288286473555e-02
3.977831000000000131e+03 2.562028000000000083e-01 2.161019779733237278e-01 -8.510880768953549280e-02
3.976867000000000189e+03 2.561048000000000213e-01 2.160350096046645685e-01 -8.520409107364673718e-02
3.975902999999999793e+03 2.560115000000000030e-01 2.159680412360054647e-01 -8.529338977091202589e-02
3.974938000000000102e+03 2.559229000000000087e-01 2.159010033980842402e-01 -8.537667377007707170e-02
3.973974000000000160e+03 2.558382000000000156e-01 2.158340350294251364e-01 -8.545501641778396884e-02
3.973010000000000218e+03 2.557560999999999862e-01 2.157670666607660326e-01 -8.553003443950218943e-02
3.972045000000000073e+03 2.556757000000000057e-01 2.157000288228447527e-01 -8.560283775287658159e-02
3.971081000000000131e+03 2.555965000000000042e-01 2.156330604541856488e-01 -8.567411989022104268e-02
3.970117000000000189e+03 2.555184999999999818e-01 2.155660920855265450e-01 -8.574385077548177247e-02
3.969152999999999793e+03 2.554427000000000225e-01 2.154991237168673857e-01 -8.581076371301223082e-02
3.968188000000000102e+03 2.553694000000000242e-01 2.154320858789462168e-01 -8.587444845611602595e-02
3.967224000000000160e+03 2.552995000000000125e-01 2.153651175102870574e-01 -8.593382542233356236e-02
3.966260000000000218e+03 2.552335000000000020e-01 2.152981491416279536e-01 -8.598823105822209212e-02
